OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice,ExterQual,BsmtQual,KitchenQual
7,1953,1953,1304,2287,2,2,12.323860125621126,Gd,TA,TA
7,1973,1973,2223,2223,2,2,12.404927602627597,TA,Gd,TA
4,1982,2006,845,845,1,2,11.771443882099637,TA,TA,TA
7,1998,1998,832,1718,2,2,12.128116509451258,TA,Gd,TA
5,1954,2003,1086,1086,1,2,11.88380602959621,TA,TA,TA
3,1915,1950,840,1605,2,1,11.58432477200052,Gd,Fa,TA
4,1973,1973,462,988,1,1,11.418625774449596,TA,Gd,TA
4,1956,1956,952,952,1,1,11.818577604251555,TA,TA,TA
5,1948,2001,672,1285,1,1,11.751950239425476,TA,TA,TA
4,1968,1968,1768,1768,2,0,11.824087219587643,TA,TA,TA
5,1910,1981,440,1230,1,2,11.608244735642321,TA,TA,TA
6,1968,1968,896,2142,2,1,12.173037959397275,TA,Gd,Gd
6,1998,1998,1237,1337,2,2,11.941462360646149,TA,Ex,TA
8,2007,2007,1563,1563,2,3,12.409017571151187,TA,Gd,Gd
5,1960,1960,1065,1065,1,2,11.748005492256807,TA,TA,TA
7,1995,1996,384,1474,2,2,12.034696963475044,TA,Gd,TA
8,1991,1992,1288,2417,2,2,12.468440756144114,Gd,Gd,Gd
6,2005,2005,684,1560,2,2,12.066816325306588,Gd,Gd,Gd
6,2009,2009,612,1224,2,2,12.010671928196443,Gd,Gd,Gd
3,1915,1982,1013,1526,1,0,11.350418300109132,Fa,TA,Fa
4,1994,1995,990,990,1,0,11.724813914587886,TA,Gd,TA
4,1950,1950,0,1040,1,2,11.60733523953139,TA,None,TA
5,1961,1961,1235,1235,1,2,11.498836682527127,TA,TA,TA
5,1921,2006,876,964,1,2,12.004574385508691,TA,Gd,TA
6,1910,1998,1214,2291,2,2,11.804855999911272,TA,TA,TA
6,1997,1997,824,1786,2,2,12.229549885708273,TA,Gd,Gd
6,1993,1993,680,1470,2,2,12.128116509451258,Ex,Gd,TA
7,1999,1999,1588,1588,2,2,12.273735966890268,Gd,Gd,Gd
4,1965,1965,960,960,1,1,11.459007676978688,TA,TA,TA
5,1920,1950,458,835,1,1,11.326607934898927,TA,TA,TA
4,1959,1959,950,1225,1,0,11.767187766223199,TA,TA,TA
6,1977,2001,1610,1610,2,2,12.230770136157428,TA,TA,Gd
6,1985,1985,741,1732,2,2,12.08954444723597,Gd,Gd,Gd
5,1979,1979,0,1535,2,2,11.68658461118553,TA,None,TA
7,2009,2009,1226,1226,2,3,12.200562492481511,TA,Gd,Gd
7,1931,1950,1040,1818,1,1,12.040614105490253,TA,TA,TA
8,2003,2004,1053,1992,2,2,12.429220196836383,Gd,Ex,Gd
4,1885,1995,641,1047,1,1,11.51293546492023,TA,Fa,TA
5,1948,1950,789,789,1,1,11.652696102959753,TA,TA,TA
5,1919,2005,793,1517,2,0,11.652696102959753,TA,TA,Fa
6,1977,1977,1844,1844,2,2,12.154784614286667,TA,Gd,TA
6,1954,1972,994,1855,2,1,11.827013315851762,TA,TA,TA
7,2000,2000,384,1430,2,2,12.100717685412471,TA,Gd,TA
7,2007,2007,1264,2696,2,3,12.85832230788469,Gd,Ex,Ex
6,1953,1953,1809,2259,2,2,12.28765724080691,TA,Gd,Gd
6,1945,2002,1028,2320,2,1,12.466515835145202,TA,TA,Gd
6,1999,1999,729,1458,2,2,12.07824495582233,TA,Gd,TA
5,1962,1962,1092,1092,1,1,11.842236406331555,TA,TA,TA
5,2006,2007,1125,1125,1,2,11.951186847493476,TA,Gd,TA
7,1990,1990,1673,3222,3,3,12.676079399771027,TA,Gd,Gd
6,2005,2006,728,1456,2,2,12.0075668272517,Gd,Gd,Gd
6,1969,1969,938,988,1,2,12.100717685412471,TA,TA,TA
4,1939,1950,732,1123,1,1,11.51293546492023,TA,TA,TA
6,1958,1958,1080,1080,1,1,11.820417517632333,TA,TA,TA
6,1993,1993,1199,1199,2,2,11.944064817531656,Gd,Gd,Gd
6,1979,1998,1362,1586,2,2,12.10625783509458,TA,Gd,TA
6,1935,1982,520,754,1,0,11.344518647594766,TA,TA,TA
6,1976,1976,1078,958,2,2,11.759793355371237,TA,Gd,TA
5,1930,1950,672,840,1,0,11.373674891823535,TA,TA,TA
6,1966,1966,660,1348,1,2,11.951186847493476,TA,TA,TA
5,1958,1991,1008,1053,1,2,11.918397239722838,TA,TA,Ex
7,1966,1966,924,2157,2,2,12.328294703023394,TA,TA,Gd
6,2000,2000,992,2054,2,2,12.404927602627597,Gd,Gd,Gd
5,1959,2002,1063,1327,1,2,11.923384748066601,TA,TA,Gd
8,2001,2002,1267,1296,2,2,12.301387370778713,Gd,Ex,Gd
5,1968,1993,1461,1721,2,2,12.100717685412471,TA,TA,TA
7,1970,1970,1304,1682,2,2,12.066816325306588,TA,TA,TA
5,1967,1967,1214,1214,2,1,11.870606902224587,TA,TA,TA
7,1988,1989,1907,1959,3,3,12.049424683420915,TA,TA,TA
8,1999,2000,1004,1852,2,3,12.345838935721968,Gd,Gd,Gd
6,1997,1997,928,1764,2,2,12.352339472153524,TA,Gd,Gd
4,1971,1971,864,864,1,0,11.652696102959753,TA,TA,TA
7,2005,2005,1734,1734,2,2,12.468440756144114,Gd,Gd,Gd
5,1952,1952,910,1385,2,2,12.019749091416921,TA,TA,TA
7,1999,1999,1490,1501,2,2,12.225880174775122,Gd,Gd,Gd
5,1963,1963,1728,1728,2,2,11.736077016252437,TA,TA,TA
6,2004,2006,970,1709,2,2,11.775297421715827,Gd,Gd,Gd
5,1931,1993,715,875,1,1,11.561725152903833,TA,TA,TA
7,2001,2001,884,2035,2,2,12.312686874960354,Gd,Gd,Gd
7,2004,2005,1080,1080,1,0,11.856522261533737,TA,Gd,Gd
5,1936,1950,896,1344,1,1,11.652696102959753,TA,Gd,TA
5,1975,1975,969,969,1,2,11.711784520403112,TA,TA,TA
8,2007,2008,1710,1710,2,3,12.827731880206521,Gd,Ex,Gd
6,1971,1971,825,1993,2,2,12.154784614286667,TA,TA,TA
6,1960,1975,1602,1252,1,2,12.367345048436391,TA,Gd,TA
6,1923,1950,1200,1200,1,1,11.736077016252437,TA,TA,TA
6,1924,1950,572,1096,1,0,11.277215789596893,TA,TA,TA
5,1950,1950,0,1040,1,2,11.603688960617083,TA,None,TA
8,2009,2010,774,1968,2,3,12.504327379899443,Gd,Ex,Ex
7,2004,2005,991,1947,2,2,12.448630513463613,Gd,Gd,Gd
7,2005,2006,1392,2462,2,2,12.676079399771027,Gd,Gd,Gd
6,1984,1984,1232,1232,2,2,11.998439434579149,TA,Gd,TA
9,2003,2004,1572,2668,2,3,12.929993908996359,Gd,Ex,Ex
7,2005,2005,1541,1541,2,2,12.301387370778713,Gd,Gd,Gd
4,1956,1956,882,882,1,0,11.544433821905134,TA,TA,TA
6,1926,2004,1149,1616,2,1,11.931642378754141,TA,TA,Gd
5,1940,1999,644,1355,2,0,11.755879486687116,TA,TA,TA
5,1955,1993,1617,1867,1,1,12.154784614286667,Gd,TA,TA
8,2007,2007,1582,2161,1,3,12.693501691489768,Gd,Ex,Ex
7,2004,2004,840,1720,2,2,12.119975396053194,Gd,Gd,Gd
8,1981,1981,1686,1707,2,2,12.337105293891872,Gd,Gd,TA
5,1941,1950,720,1382,1,2,11.763691965388299,TA,TA,TA
6,1960,1960,1080,1656,1,2,12.278397958261774,TA,TA,TA
7,1987,1987,1064,1767,2,2,12.384223015005313,Gd,Gd,Gd
6,1961,1961,1362,1362,1,2,12.001511614739405,TA,TA,TA
6,1986,1986,1606,1651,2,2,12.122696471358964,TA,Gd,TA
6,1950,2001,1202,2158,2,2,12.400820837540556,TA,TA,Gd
6,1988,1989,1151,2060,2,2,12.259618151783465,Gd,Gd,TA
5,1958,1958,1052,1920,2,2,12.058158312538197,Gd,TA,Gd
9,2008,2009,2216,2234,2,3,13.126032637428713,Ex,Ex,Ex
5,1923,2006,968,968,1,2,11.51293546492023,Gd,TA,TA
6,2000,2000,756,1525,2,2,12.083910661257521,Gd,Gd,Gd
7,1920,1950,793,1802,1,1,12.206577518060588,TA,Fa,TA
5,1957,2006,0,1340,1,1,11.695255355062795,TA,None,TA
7,2003,2003,1362,2082,2,2,12.206077645517674,TA,Gd,Gd
5,1908,1991,504,1252,1,2,11.751950239425476,TA,Fa,TA
10,1892,1993,1107,3608,2,3,13.07107218827772,Gd,TA,Ex
7,1990,1991,1188,1217,2,2,12.06105265381003,TA,Gd,Gd
5,1916,1987,660,1656,2,1,11.813037464800539,TA,Fa,TA
5,1979,1979,1086,1224,0,2,11.940399914116648,TA,Gd,TA
8,2001,2002,1593,1593,1,2,12.563750586299374,Gd,Ex,Ex
8,1932,1994,853,2727,2,2,12.660331092405906,Gd,Gd,Gd
7,1972,2004,725,1479,1,2,12.122696471358964,TA,TA,Gd
7,1999,1999,1431,1431,2,2,12.165255859329688,Gd,Gd,Gd
7,2004,2004,970,1709,2,2,11.775297421715827,Gd,Gd,Gd
5,1972,1972,864,864,1,1,11.751950239425476,TA,TA,TA
6,1976,1976,855,1456,2,2,11.908346971208951,TA,Gd,TA
7,2007,2007,1726,1726,2,3,12.650351332641707,Ex,Ex,Ex
8,1918,1990,1360,3112,2,2,12.367345048436391,Gd,TA,Gd
6,1912,1950,755,2229,1,0,11.552155793461898,TA,TA,TA
8,2004,2005,1713,1713,2,3,12.524166311833152,Gd,Ex,Ex
4,2003,2004,1121,1121,2,2,11.849404844423074,TA,Gd,TA
6,1977,1977,1196,1279,2,2,12.052344376474922,TA,TA,TA
6,1924,1950,617,1310,2,1,11.626263078808801,TA,Fa,TA
6,2004,2004,848,848,1,2,11.91170829631447,Gd,Gd,Gd
5,1947,1950,720,1284,1,1,11.608244735642321,TA,TA,TA
7,1990,1990,1424,1442,2,2,12.103491596905931,TA,Gd,TA
5,1962,1962,1140,1696,1,1,11.87688084212164,TA,TA,TA
4,1960,1960,1100,1100,1,1,11.856522261533737,TA,TA,TA
7,1988,1989,1157,2062,2,2,12.531776395271262,Gd,Gd,TA
6,1964,1964,1092,1092,1,2,11.884495917930655,TA,Gd,TA
5,1925,1950,864,864,1,0,11.49273296168228,TA,TA,TA
6,2009,2009,1212,1212,2,2,12.133507329024972,TA,Gd,Gd
7,2009,2009,900,1852,2,2,12.439875187430008,TA,Gd,Gd
5,1995,1995,990,990,1,2,11.957617696467539,TA,Gd,TA
6,1977,1977,689,1392,1,1,11.993813394724253,TA,Gd,TA
5,1957,1996,1070,1236,1,1,11.808955099378537,TA,TA,Gd
7,2004,2004,1436,1436,2,2,12.25486757159303,Gd,Gd,Gd
4,1925,1950,686,1328,1,1,11.580593459194764,TA,TA,TA
7,1939,2006,798,1954,1,2,12.649157827477366,Gd,TA,Gd
7,2005,2006,1248,1248,2,2,12.027191164883384,Gd,Gd,Gd
7,2006,2006,1498,1498,2,2,12.230282214644559,Gd,Gd,Gd
6,2002,2002,1010,2267,2,2,12.206077645517674,Gd,Gd,Gd
6,1975,1975,713,1552,2,2,12.100161978566867,TA,Gd,TA
4,1971,1971,864,864,1,2,11.48247656671073,TA,TA,TA
10,2003,2003,2392,2392,2,3,12.864242696187505,Ex,Ex,Ex
5,1971,1971,630,1302,2,1,11.626263078808801,TA,TA,TA
7,1995,1995,1203,2520,2,3,12.577639650232573,Gd,Gd,Gd
6,1970,1970,483,987,1,1,11.571203807011969,TA,TA,TA
5,1967,1967,912,912,1,1,11.736077016252437,TA,TA,TA
7,2005,2006,1373,1555,2,2,12.167856627501678,Gd,Gd,Gd
6,1959,1959,1194,1194,1,1,11.904974309480183,TA,TA,TA
8,1995,1996,1462,2794,2,3,12.90669432231532,Gd,Gd,Ex
6,1972,1972,483,987,1,1,11.456365695436427,TA,TA,TA
5,1976,1976,894,894,1,1,11.761354623750297,TA,TA,TA
6,2002,2002,860,1960,2,2,12.285350445351659,Gd,Gd,Gd
6,1971,1971,483,987,1,1,11.402005077384885,TA,TA,TA
7,2004,2004,1414,1414,2,2,12.130815551850676,Gd,Gd,Gd
7,1993,2003,996,1744,2,2,12.178192583415596,Gd,Gd,Gd
8,2007,2007,1694,1694,2,3,12.669809806411457,Ex,Ex,Gd
6,1945,1950,735,1487,1,1,11.635151947212842,TA,TA,TA
8,2008,2008,1566,1566,2,2,12.47801017053037,Gd,Gd,Gd
5,1945,1997,686,866,1,0,11.612779849672751,TA,TA,Gd
5,1900,1950,540,1440,1,1,11.277215789596893,TA,TA,TA
6,1980,1980,626,1217,1,1,11.695255355062795,TA,Gd,TA
7,1994,2002,948,2110,2,2,12.230770136157428,Gd,Gd,Gd
7,1988,1988,1845,1872,2,2,12.394628892852941,TA,Gd,TA
6,1910,1950,1020,1928,2,1,11.827743504053695,TA,Fa,Fa
6,1954,1954,1367,1375,1,2,11.849404844423074,TA,TA,TA
7,2003,2003,840,1668,2,2,12.100717685412471,Gd,Gd,Gd
6,1958,2006,1444,2144,2,2,12.531776395271262,Gd,Gd,Gd
3,1940,1966,728,1306,1,0,11.245059091624615,TA,TA,Fa
8,2006,2007,1573,1625,2,2,12.367345048436391,Gd,Gd,Gd
6,2004,2004,798,1640,2,2,12.06105265381003,Gd,Gd,Gd
6,1964,1991,1302,1302,2,1,11.970356641102999,TA,Gd,Gd
5,1957,1957,1314,1314,1,1,11.884495917930655,TA,TA,TA
7,1999,1999,975,2291,2,2,12.345838935721968,Gd,Gd,Gd
6,2003,2003,864,1728,2,2,12.242891437918386,Gd,Gd,Gd
7,2006,2006,1604,1604,2,2,12.301387370778713,Gd,Gd,Gd
7,2001,2001,963,1792,2,2,12.352339472153524,Gd,Gd,Gd
5,1956,1956,0,882,1,1,11.48247656671073,TA,None,TA
6,1962,1962,1362,1382,1,2,12.07824495582233,TA,TA,TA
8,2007,2007,1482,2574,2,3,12.52815976788113,Gd,Ex,Ex
6,1977,1995,506,1212,1,2,11.92504173829169,TA,Gd,TA
5,1929,2001,926,1316,1,2,11.775297421715827,TA,TA,TA
5,1925,2004,680,764,1,2,11.19822841866684,TA,Fa,TA
6,1981,1981,1422,1422,2,2,12.075400019877522,TA,Gd,Gd
6,1997,1997,802,1511,2,2,12.128116509451258,TA,Gd,TA
5,1939,1997,720,2192,2,1,12.097936057925594,TA,TA,Gd
5,1940,1955,740,778,1,1,11.699413330633599,TA,TA,TA
6,1976,1976,1143,1113,1,1,11.904974309480183,TA,TA,TA
8,2006,2006,1095,1939,2,3,12.491255347155265,Gd,Gd,Gd
7,1954,2005,1385,1363,1,2,12.394628892852941,TA,Gd,TA
8,1999,2007,1152,2270,2,3,12.577639650232573,Gd,Gd,Gd
6,1958,1988,1240,1632,2,1,11.842236406331555,TA,TA,TA
5,1982,1982,816,816,1,1,11.732069026983156,TA,TA,TA
7,1925,2007,952,1548,2,2,12.230770136157428,Gd,TA,Ex
7,2003,2003,1560,1560,2,2,12.211065162153215,Gd,Ex,Gd
4,1951,1951,864,864,1,2,11.856522261533737,TA,TA,TA
9,2006,2007,2121,2121,2,3,12.936754021718041,Ex,Ex,Ex
7,1977,1977,1160,2022,2,2,12.165255859329688,TA,Gd,TA
7,1989,1989,807,1982,2,2,12.339295865674435,Gd,Gd,Gd
6,2006,2006,1262,1262,2,2,12.128116509451258,Gd,Gd,Gd
7,2007,2008,1314,1314,2,2,12.242891437918386,Gd,Gd,Gd
8,2008,2009,1468,1468,2,3,12.407383590534293,Gd,Gd,Gd
6,1992,1992,1575,1575,2,2,12.09626335986454,Gd,Gd,Gd
7,2006,2007,625,1250,2,2,12.011886987792716,Gd,Gd,Gd
6,1962,1981,912,1734,1,2,11.976665770490767,TA,TA,Gd
4,1971,1971,858,858,1,0,11.385103457032141,TA,TA,TA
5,1967,1967,882,900,1,1,11.711784520403112,TA,TA,TA
6,1915,2003,698,1396,1,1,11.941950837487406,TA,TA,TA
8,2006,2006,1079,1919,2,2,12.359784657728284,Gd,Gd,Gd
5,1912,2000,780,1716,2,0,11.819681958463892,TA,TA,Fa
5,1949,2008,768,1716,1,1,11.782960235741939,TA,TA,TA
7,1977,1994,795,2263,2,2,12.367345048436391,TA,TA,Gd
6,1953,1953,1416,1644,1,2,12.025755079404917,TA,TA,TA
6,1984,1984,1003,1003,1,2,11.86710429621008,TA,TA,TA
5,1950,1950,910,1558,1,1,11.931642378754141,TA,TA,TA
7,1997,1998,975,1950,2,2,12.384223015005313,Gd,Gd,Gd
6,1968,1968,702,1743,1,2,12.07254696717504,Gd,TA,TA
6,1950,2004,1092,1152,1,1,11.973516181427835,TA,TA,Gd
5,1953,1953,1165,1336,1,1,11.964007453736912,TA,TA,TA
8,1998,1999,1028,2452,2,2,12.495007682693725,Gd,Gd,Gd
7,2001,2002,1541,1541,2,3,12.230770136157428,Gd,Gd,Gd
5,1972,1972,894,894,1,2,11.917730355182513,TA,TA,TA
7,1880,2002,1470,3493,3,3,12.59473402514672,TA,TA,Gd
8,2004,2005,2000,2000,2,3,12.631016799175821,Gd,Gd,Gd
7,1990,1991,700,2243,2,3,12.323860125621126,Gd,Gd,Gd
6,1920,1950,319,1406,1,0,11.402005077384885,TA,TA,Fa
4,1940,1950,861,861,1,2,11.320565693461432,TA,TA,TA
9,2003,2004,1896,1944,2,3,12.793862088206213,Gd,Ex,Ex
6,1993,1994,697,1501,2,2,12.017336559562407,TA,Gd,Gd
6,1948,2002,972,972,1,1,11.790564777297387,TA,TA,TA
5,1939,1950,793,1118,1,2,11.694421681264394,TA,Gd,TA
7,1965,1965,2136,2036,2,2,12.834683971615659,TA,Gd,TA
7,1925,1990,728,1641,1,2,12.08954444723597,TA,TA,Ex
7,2004,2005,716,1432,2,2,12.146858590895919,Gd,Gd,Gd
7,1980,1980,845,2353,2,2,12.468440756144114,Gd,Gd,Ex
8,2006,2006,1088,1959,2,3,12.506180941677357,Gd,Gd,Gd
7,1993,1993,1347,2646,2,3,12.468440756144114,Gd,Gd,Gd
7,1980,1980,1372,1472,2,2,12.141539457711714,TA,Gd,TA
9,2006,2006,1249,2596,3,3,12.74444728628135,TA,Ex,Gd
8,2004,2004,1136,2468,2,3,12.777055016970678,Gd,Ex,Gd
7,1986,1987,1502,2730,2,2,12.614868865984631,Gd,TA,Gd
3,1955,2005,1162,1163,1,1,11.745433036677353,TA,TA,TA
7,1967,2007,710,2978,2,2,12.396697137361691,Gd,Gd,Gd
5,1941,1950,720,803,1,2,11.373674891823535,TA,TA,TA
8,1993,1993,1719,1719,1,2,12.688501881189456,Gd,Gd,Gd
6,1960,1960,1383,1383,1,1,11.886218559372042,TA,TA,TA
6,1916,1994,844,2134,2,2,12.276069679344003,TA,TA,Gd
5,1920,1950,596,1192,1,1,11.264476926102367,TA,TA,TA
5,1964,1964,1728,1728,2,1,11.686887175419702,TA,TA,TA
5,1958,1992,1056,1056,1,1,11.842236406331555,TA,TA,TA
8,2003,2004,3206,1629,2,3,12.556733038263905,Gd,Gd,Gd
7,2004,2004,1358,1358,2,2,12.240478903153711,Gd,Gd,Gd
6,1998,1998,943,1638,2,2,12.165255859329688,TA,Gd,TA
5,1965,1965,1499,1786,2,2,12.34126328584159,TA,TA,TA
9,2005,2006,1922,1922,2,3,12.841132451487937,Gd,Ex,Gd
7,2002,2003,1536,1536,2,2,12.273735966890268,Gd,Gd,Gd
7,1984,1998,1208,1621,2,2,12.218500103788143,Gd,Gd,Gd
6,1958,1998,1215,1215,1,1,11.951186847493476,TA,TA,TA
8,2002,2002,967,1908,2,2,12.220473454337986,Gd,Gd,Gd
4,1950,1950,721,841,1,1,11.314486721293981,Fa,TA,TA
3,1949,1950,0,1040,2,2,11.37940550085183,TA,None,TA
9,2005,2005,1684,1684,2,2,12.491255347155265,Ex,Ex,Ex
5,1976,1976,536,1112,1,1,11.350418300109132,TA,Gd,TA
6,1939,1950,972,1577,1,1,11.850832386224807,TA,TA,Fa
6,1960,1998,958,958,1,1,11.928347504569842,TA,TA,TA
6,1960,1960,1478,1478,2,2,11.967187086434018,TA,TA,TA
7,2003,2004,764,1626,2,2,11.944714374881176,Gd,Gd,Gd
9,2005,2006,1848,2728,2,3,12.988043102265232,Ex,Ex,Ex
9,2007,2007,1869,1869,2,2,12.670001611311875,Ex,Ex,Ex
7,1986,1986,1453,1453,1,2,12.154784614286667,TA,Gd,Gd
5,1941,1950,616,1111,1,1,11.461642696843066,TA,TA,TA
6,1928,2003,624,720,1,2,11.570259974415547,TA,TA,TA
6,1940,2000,940,1595,1,1,11.849404844423074,TA,TA,TA
6,1995,1995,1200,1200,2,2,12.086731521684555,Gd,Gd,Gd
6,1992,1992,1158,1167,2,2,12.06105265381003,TA,Gd,Gd
5,1976,1976,1142,1142,1,2,11.80560254159177,TA,Gd,TA
5,1958,1958,1062,1352,1,1,11.775297421715827,TA,TA,Gd
8,1998,1998,1086,1924,2,2,12.54254845357358,Gd,Gd,Gd
6,1978,1978,888,912,1,2,11.957617696467539,TA,Gd,TA
5,1940,1982,883,1505,1,1,11.884495917930655,TA,TA,TA
7,2003,2003,0,1922,3,2,12.198549416880068,Gd,None,Gd
6,1972,2007,483,987,1,1,11.678448377988165,TA,TA,Gd
6,1976,1976,796,1574,2,2,12.154784614286667,TA,Gd,TA
5,1920,1997,672,1344,1,1,11.898194668458823,TA,TA,TA
6,1963,1963,1394,1394,1,2,11.976665770490767,TA,Gd,TA
6,1962,1962,1099,1431,1,1,12.013706813470414,TA,Gd,TA
5,1954,1954,1268,1268,1,1,11.790564777297387,TA,TA,TA
5,1959,2006,1063,1287,1,2,11.995357787034976,TA,TA,Gd
6,2000,2000,953,1664,2,2,12.057578437658945,TA,Gd,TA
4,1959,1959,0,1588,2,2,11.808821212646512,TA,None,TA
6,1984,1984,744,752,1,1,11.736077016252437,TA,Gd,TA
5,1953,1953,608,1319,1,1,11.719947764402807,TA,TA,TA
7,2003,2004,847,1928,2,2,12.299112067295642,Gd,Gd,Gd
1,1922,1950,683,904,0,0,11.0186455364637,Fa,Fa,Fa
5,1996,1996,870,914,1,2,11.904974309480183,Gd,Gd,TA
8,2004,2005,1580,2466,3,2,12.73670383776449,Gd,Gd,Gd
9,2010,2010,1856,1856,1,3,12.885204569609956,Gd,Ex,Ex
6,2000,2000,982,1800,2,2,12.095146671399466,TA,Gd,TA
5,1924,1950,1026,1691,2,1,11.751950239425476,TA,TA,Gd
7,2006,2006,1293,1301,2,2,12.142871895843887,Gd,Gd,Gd
7,2006,2006,939,1797,2,2,12.271396795480596,Gd,Gd,Gd
6,1928,1950,784,784,1,2,11.23850177707664,TA,Fa,TA
6,1992,1992,1580,1953,2,2,12.388398368982115,Gd,Gd,Gd
8,2004,2005,1256,1269,2,2,12.165255859329688,Gd,Gd,Gd
5,1910,1996,658,1184,1,0,11.302216779257382,TA,TA,TA
